dataset,seed,method,auc_roc,neg_brier,cv_lambda
Breast Cancer,0,Equal,0.9954143465443825,-0.022635788147349747,1.5
Breast Cancer,0,Perf-Weighted,0.9957418932197839,-0.02262214735931537,1.5
Breast Cancer,0,Individual-Only,0.9957418932197839,-0.02262214735931537,1.5
Breast Cancer,0,Interaction-Only,0.9931215198165738,-0.02757615898307513,1.5
Breast Cancer,0,Coopetitive-0.5,0.9977071732721913,-0.01913842311069224,1.5
Breast Cancer,0,Coopetitive-CV,0.9954143465443825,-0.022342951675973857,1.5
Breast Cancer,0,Shapley,0.9957418932197839,-0.022592063954640793,1.5
Breast Cancer,0,Shapley+SII,0.9977071732721913,-0.01837772542487135,1.5
Breast Cancer,0,Best-Single,0.9983622666229938,-0.014850292786578578,1.5
Breast Cancer,0,Stacking,0.9957418932197839,-0.069333452909447,
Breast Cancer,1,Equal,1.0,-0.00770604067216148,1.0
Breast Cancer,1,Perf-Weighted,1.0,-0.007639757294365363,1.0
Breast Cancer,1,Individual-Only,1.0,-0.007639757294365363,1.0
Breast Cancer,1,Interaction-Only,1.0,-0.01362442810642029,1.0
Breast Cancer,1,Coopetitive-0.5,1.0,-0.007703287585934518,1.0
Breast Cancer,1,Coopetitive-CV,1.0,-0.015184160782715471,1.0
Breast Cancer,1,Shapley,1.0,-0.007647365816158734,1.0
Breast Cancer,1,Shapley+SII,1.0,-0.016083935671448977,1.0
Breast Cancer,1,Best-Single,0.9993386243386243,-0.008382904532818342,1.0
Breast Cancer,1,Stacking,1.0,-0.06114230812785382,
Breast Cancer,2,Equal,0.9990173599737963,-0.019344973261485335,0.8
Breast Cancer,2,Perf-Weighted,0.9990173599737963,-0.019337778391352256,0.8
Breast Cancer,2,Individual-Only,0.9990173599737963,-0.019337778391352256,0.8
Breast Cancer,2,Interaction-Only,0.998689813298395,-0.023969124998060733,0.8
Breast Cancer,2,Coopetitive-0.5,0.9980347199475926,-0.02179928844643132,0.8
Breast Cancer,2,Coopetitive-CV,0.9980347199475926,-0.023242145999108905,0.8
Breast Cancer,2,Shapley,0.9990173599737963,-0.019378954296589607,0.8
Breast Cancer,2,Shapley+SII,0.9980347199475926,-0.023528323304717925,0.8
Breast Cancer,2,Best-Single,0.9963969865705864,-0.028758114035087722,0.8
Breast Cancer,2,Stacking,0.9990173599737963,-0.026526017838312467,
Heart Disease,0,Equal,0.9047619047619047,-0.12531995836412183,0.5
Heart Disease,0,Perf-Weighted,0.9058441558441559,-0.12401506132849345,0.5
Heart Disease,0,Individual-Only,0.9058441558441559,-0.12401506132849345,0.5
Heart Disease,0,Interaction-Only,0.8841991341991342,-0.1367061280574952,0.5
