dataset,seed,method,auc_roc,neg_brier,cv_lambda
fri_c3_500_50,0,Equal,0.9392084863321093,-0.14574952795868484,0.6
fri_c3_500_50,0,Perf-Weighted,0.9608323133414933,-0.11500089282186207,0.6
fri_c3_500_50,0,Individual-Only,0.9608323133414933,-0.11500089282186207,0.6
fri_c3_500_50,0,Interaction-Only,0.7821297429620563,-0.19341785338637604,0.6
fri_c3_500_50,0,Coopetitive-0.5,0.9624643002855977,-0.09143133869438388,0.6
fri_c3_500_50,0,Coopetitive-CV,0.9628722970216239,-0.08973282551214201,0.6
fri_c3_500_50,0,Shapley,0.9628722970216239,-0.0927790990081768,0.6
fri_c3_500_50,0,Shapley+SII,0.9575683394532843,-0.08523973002953059,0.6
fri_c3_500_50,0,Best-Single,0.95593635250918,-0.08438723534345627,0.6
fri_c3_500_50,0,Stacking,0.9241126070991433,-0.09387348532691239,
fri_c3_500_50,1,Equal,0.8498572011423909,-0.1699847111958958,0.8
fri_c3_500_50,1,Perf-Weighted,0.8939208486332109,-0.14824620829339774,0.8
fri_c3_500_50,1,Individual-Only,0.8939208486332109,-0.14824620829339774,0.8
fri_c3_500_50,1,Interaction-Only,0.7580579355365157,-0.20203588413049064,0.8
fri_c3_500_50,1,Coopetitive-0.5,0.9130966952264382,-0.129754788790564,0.8
fri_c3_500_50,1,Coopetitive-CV,0.9110567115463075,-0.12940183354098156,0.8
fri_c3_500_50,1,Shapley,0.9098327213382293,-0.13152992687745785,0.8
fri_c3_500_50,1,Shapley+SII,0.9061607507139943,-0.13032176470698145,0.8
fri_c3_500_50,1,Best-Single,0.9159526723786209,-0.13451063632965088,0.8
fri_c3_500_50,1,Stacking,0.9094247246022031,-0.137886262677593,
fri_c3_500_50,2,Equal,0.8657690738474092,-0.1653954506888912,0.9
fri_c3_500_50,2,Perf-Weighted,0.8857609139126887,-0.13986718075765353,0.9
fri_c3_500_50,2,Individual-Only,0.8857609139126887,-0.13986718075765353,0.9
fri_c3_500_50,2,Interaction-Only,0.7923296613627091,-0.19323238413225596,0.9
fri_c3_500_50,2,Coopetitive-0.5,0.8882088943288454,-0.1291268385586316,0.9
