dataset,seed,mono_rate,flagged_models,gc_optimal,v_grand,v_max,has_signal,coverage,rank_stability
Breast Cancer,0,0.3625,"RF,XGB",False,0.9930555555555556,0.9950396825396826,True,-4.966130114017437,1.0
Breast Cancer,1,0.3375,"RF,XGB",False,0.9931215198165738,0.9950867998689813,True,-4.82231816672202,0.9999999999999999
Breast Cancer,2,0.4125,"LR,XGB,KNN",False,0.9930555555555556,0.9950396825396826,True,-4.741448692152917,0.9999999999999999
Breast Cancer,3,0.4625,"RF,XGB,KNN",False,0.986441798941799,0.994047619047619,True,-4.852821210061181,0.9999999999999999
Breast Cancer,4,0.4875,"LR,SVM,KNN",False,0.9900793650793651,0.9947089947089948,True,-4.834008097165992,0.9999999999999999
Heart Disease,0,0.325,"LR,KNN",False,0.9277777777777778,0.9347222222222222,True,-4.686688311688311,0.9999999999999999
Heart Disease,1,0.3625,RF,False,0.9166666666666667,0.9305555555555556,True,-4.598333333333333,0.9999999999999999
Heart Disease,2,0.375,"RF,XGB",False,0.9347222222222222,0.9458333333333333,True,-4.763578274760382,0.9999999999999999
Heart Disease,3,0.4125,"RF,XGB",False,0.8902777777777778,0.9125,True,-4.895017793594305,0.9999999999999999
Heart Disease,4,0.4,"SVM,XGB",False,0.8916666666666667,0.9041666666666667,True,-4.643617021276597,0.9999999999999999
Pima Diabetes,0,0.4,"XGB,KNN",False,0.8403703703703704,0.8725925925925925,True,-4.551414581066375,0.9999999999999999
Pima Diabetes,1,0.3375,"XGB,KNN",False,0.8172987110031757,0.8262656454324678,True,-4.423903444215487,0.9999999999999999
Pima Diabetes,2,0.4,"XGB,KNN",False,0.7957407407407407,0.822962962962963,True,-4.403256105197247,0.9999999999999999
Pima Diabetes,3,0.375,"XGB,KNN",False,0.8237037037037037,0.8387037037037037,True,-4.676487414187643,0.9999999999999999
Pima Diabetes,4,0.3,"RF,XGB,KNN",False,0.7905555555555555,0.8007407407407406,True,-4.41172721478649,0.9999999999999999
Ionosphere,0,0.2,,False,0.9724444444444444,0.9737777777777777,True,-4.29821260583255,0.9999999999999999
Ionosphere,1,0.4125,"RF,KNN",False,0.9804444444444445,0.9902222222222222,True,-4.3681776133209995,0.9999999999999999
Ionosphere,2,0.175,LR,True,1.0,1.0,True,-4.588444444444445,1.0
Ionosphere,3,0.3375,"LR,XGB",False,0.9644444444444444,0.9786666666666666,True,-4.1550239234449755,0.9999999999999999
Ionosphere,4,0.275,"XGB,KNN",False,0.992,0.9964444444444444,True,-4.487804878048781,0.9999999999999999
German Credit,0,0.2875,"SVM,KNN",False,0.8049999999999999,0.8179761904761904,True,-3.0825526932084304,0.9999999999999999
