dataset,opt_lambda,opt_auc,fixed_auc,fixed_ratio,robustness_ratio
1StudentPerfromance,0.7,0.96171875,0.9608573717948719,0.6260869565217836,0.09523809523809523
2dplanes,0.7,0.98397205370271,0.9835812194529139,0.28445864081939226,0.047619047619047616
AVIDa-SARS-CoV-2,0.9,0.8969027888043776,0.89639687236801,0.26513522548868823,0.047619047619047616
Australian,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
Australian_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
Australian_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
Australian_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
Australian_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1.5,0.9317516454710644,0.9300063924775162,0.32751608679909133,0.047619047619047616
BNG(breast-w),0.7,0.9987846316108397,0.9987704402605606,0.6067326732670806,0.09523809523809523
BNG(tic-tac-toe),0.7,0.8717915343479271,0.8687926773085346,0.445224201312456,0.047619047619047616
Bank_Customer_Churn,0.7,0.8502951500824871,0.8500146344199925,0.4444476479767825,0.047619047619047616
Bioresponse,0.7,0.8661562196445918,0.8661147934403749,-1.230769230765092,0.047619047619047616
Bioresponse_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.0,0.8199692780337943,0.8182770516985218,1.0,0.047619047619047616
Bioresponse_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.0,0.7994611064944221,0.7985142655687341,1.0,0.047619047619047616
Bioresponse_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.0,0.7911007025761123,0.7900480975044697,1.0,0.047619047619047616
Bioresponse_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.0,0.8113419455566468,0.8108131248268741,1.0,0.047619047619047616
Bioresponse_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.0,0.7763944499005314,0.7751504620885901,1.0,0.047619047619047616
BitcoinHeist_Ransomware,0.7,0.9345524554741939,0.9338886967216264,0.6568325334680427,0.09523809523809523
California-Housing-Classification,0.8,0.9632846702240995,0.9631580533351805,0.711489089750348,0.09523809523809523
CanadaFiresD,0.0,0.9934357149545837,0.9933139807098044,1.0,0.047619047619047616
Cardiovascular-Disease-dataset,0.2,0.7975517502209797,0.7975085991864813,-2.3099561678100824,0.09523809523809523
CodeXGLUE,0.6,0.7654606179883298,0.7654357470149431,0.955784925588176,0.14285714285714285
Credit-Risk-Classification-Dataset,1.3,0.5890864197530864,0.5876543209876542,0.016949152542331546,0.09523809523809523
Credit_Approval_Classification,0.3,0.8054523809523809,0.8049285714285714,0.3529411764706447,0.047619047619047616
Creditability-German-Credit-Data,0.0,0.7869285714285714,0.784,1.0,0.047619047619047616
Customer_Churn_Classification_Nominal,0.8,0.8803417375010824,0.8802457094673904,0.16026317426790945,0.047619047619047616
E-CommereShippingData,1.1,0.737323760602069,0.7345815973900971,-0.3480089911228339,0.09523809523809523
Employee,0.1,0.8589013911620296,0.8588707037643207,0.14285714285226983,0.09523809523809523
FICO-HELOC-cleaned,0.8,0.8052430571248956,0.8050160449340329,0.48556797020483433,0.047619047619047616
FOREX_audcad-day-Close,0.5,0.5123054070112893,0.5123054070112893,1.0,0.14285714285714285
FOREX_audcad-day-High,0.9,0.776235458890328,0.7750946548102345,0.5294072165624003,0.047619047619047616
FOREX_audcad-hour-Close,0.6,0.5288693126337275,0.5284291176408413,0.8453472844677475,0.047619047619047616
FOREX_audcad-hour-High,0.9,0.7627760568977446,0.7610573307873967,0.49448070161457197,0.047619047619047616
FOREX_audchf-day-Close,2.0,0.5068607068607068,0.5038491238491238,0.2798295454545507,0.09523809523809523
FOREX_audchf-day-High,0.4,0.6971900433671954,0.6970474662864611,0.8620689655172229,0.047619047619047616
