dataset,seed,lambda,auc_roc,neg_brier
Breast Cancer,0,0.0,0.9977071732721913,-0.020250182101268135
Breast Cancer,0,0.1,0.9977071732721913,-0.020034477699694055
Breast Cancer,0,0.2,0.9977071732721913,-0.01980720011480735
Breast Cancer,0,0.3,0.9977071732721913,-0.01957448853140847
Breast Cancer,0,0.4,0.9977071732721913,-0.01934649352995635
Breast Cancer,0,0.5,0.9977071732721913,-0.019138423110692252
Breast Cancer,0,0.6,0.9977071732721913,-0.018971118934252174
Breast Cancer,0,0.7,0.9977071732721913,-0.018870588723812438
Breast Cancer,0,0.8,0.99737962659679,-0.018865928007217234
Breast Cancer,0,0.9,0.99737962659679,-0.018985302997707853
Breast Cancer,0,1.0,0.99737962659679,-0.019250062115021747
Breast Cancer,0,1.1,0.9967245332459875,-0.019667703491407618
Breast Cancer,0,1.2,0.9967245332459875,-0.02022581329729805
Breast Cancer,0,1.3,0.9963969865705863,-0.020890701553472626
Breast Cancer,0,1.4,0.996069439895185,-0.021613638745524126
Breast Cancer,0,1.5,0.9954143465443825,-0.02234295167597386
Breast Cancer,0,1.6,0.9954143465443825,-0.023035855489660414
Breast Cancer,0,1.7,0.9950867998689813,-0.023664702161355175
Breast Cancer,0,1.8,0.99475925319358,-0.024216898252646793
Breast Cancer,0,1.9,0.99475925319358,-0.02469113129256718
Breast Cancer,0,2.0,0.99475925319358,-0.02509284912690876
Breast Cancer,1,0.0,1.0,-0.00560781522470186
Breast Cancer,1,0.1,1.0,-0.005818892494590363
Breast Cancer,1,0.2,1.0,-0.006093105217546151
Breast Cancer,1,0.3,1.0,-0.006459507901365689
Breast Cancer,1,0.4,1.0,-0.006966740205630233
Breast Cancer,1,0.5,1.0,-0.007703287585934519
Breast Cancer,1,0.6,1.0,-0.008833751778035972
Breast Cancer,1,0.7,1.0,-0.010554087730669128
Breast Cancer,1,0.8,1.0,-0.012653512950996785
Breast Cancer,1,0.9,1.0,-0.014328353703561886
Breast Cancer,1,1.0,1.0,-0.015184160782715471
Breast Cancer,1,1.1,1.0,-0.0154497224999121
Breast Cancer,1,1.2,1.0,-0.015428398138369503
Breast Cancer,1,1.3,1.0,-0.015298968531837733
Breast Cancer,1,1.4,1.0,-0.015142883538356949
Breast Cancer,1,1.5,1.0,-0.014992158581586182
Breast Cancer,1,1.6,1.0,-0.014857252406752267
Breast Cancer,1,1.7,1.0,-0.014740004924864212
Breast Cancer,1,1.8,1.0,-0.014639136587281377
Breast Cancer,1,1.9,1.0,-0.014552472377980675
Breast Cancer,1,2.0,1.0,-0.014477791651733175
Breast Cancer,2,0.0,0.9990173599737963,-0.019987812238056547
Breast Cancer,2,0.1,0.9990173599737963,-0.020145829779221473
Breast Cancer,2,0.2,0.9990173599737963,-0.020361007381221614
Breast Cancer,2,0.3,0.998689813298395,-0.020666086979281375
Breast Cancer,2,0.4,0.9983622666229938,-0.021117042313849112
Breast Cancer,2,0.5,0.9980347199475926,-0.021799288446431322
Breast Cancer,2,0.6,0.9977071732721913,-0.02275933946547434
Breast Cancer,2,0.7,0.9977071732721913,-0.02359129072240444
Breast Cancer,2,0.8,0.9980347199475926,-0.023242145999108905
Breast Cancer,2,0.9,0.9983622666229938,-0.022973577600669173
Breast Cancer,2,1.0,0.998689813298395,-0.023474313230830678
Breast Cancer,2,1.1,0.998689813298395,-0.023844863962292677
Breast Cancer,2,1.2,0.998689813298395,-0.024031645865474547
Breast Cancer,2,1.3,0.998689813298395,-0.024121134873219763
Breast Cancer,2,1.4,0.998689813298395,-0.024163027274181716
Breast Cancer,2,1.5,0.998689813298395,-0.024181110138363052
Breast Cancer,2,1.6,0.998689813298395,-0.02418689776490255
Breast Cancer,2,1.7,0.998689813298395,-0.024186200978985835
Breast Cancer,2,1.8,0.998689813298395,-0.02418207710498284
Breast Cancer,2,1.9,0.998689813298395,-0.0241761912143646
Breast Cancer,2,2.0,0.998689813298395,-0.024169473521055557
Breast Cancer,3,0.0,0.9983622666229938,-0.015312620097497936
Breast Cancer,3,0.1,0.9983622666229938,-0.015352189379857039
Breast Cancer,3,0.2,0.9983622666229938,-0.015394172754024986
Breast Cancer,3,0.3,0.9983622666229938,-0.015438076136995226
Breast Cancer,3,0.4,0.9983622666229938,-0.015482867201735237
Breast Cancer,3,0.5,0.9983622666229938,-0.015526632037383326
Breast Cancer,3,0.6,0.9983622666229938,-0.015566093768223531
Breast Cancer,3,0.7,0.9983622666229938,-0.015596130685686807
Breast Cancer,3,0.8,0.998689813298395,-0.015610100266648932
Breast Cancer,3,0.9,0.9983622666229938,-0.015604189269198024
Breast Cancer,3,1.0,0.9983622666229938,-0.015595055381009318
Breast Cancer,3,1.1,0.9980347199475925,-0.015657744971825715
