name,openml_id,n_instances_meta,n_features_meta,n_samples,n_features,n_classes,minority_fraction,dt_auc,status,failures,error
fri_c3_500_50                                                                         ,937,500,51,500.0,50.0,2.0,0.436,0.8271493212669683,PASS,,
fri_c3_500_10                                                                         ,936,500,11,500.0,10.0,2.0,0.456,0.8715925394548063,PASS,,
fri_c1_500_50                                                                         ,766,500,51,500.0,50.0,2.0,0.476,0.7811552861472634,PASS,,
fri_c4_500_100                                                                        ,742,500,101,500.0,100.0,2.0,0.434,0.7696832579185521,PASS,,
fri_c1_500_5                                                                          ,870,500,6,500.0,5.0,2.0,0.466,0.8464285714285714,PASS,,
fri_c3_500_25                                                                         ,896,500,26,500.0,25.0,2.0,0.44,0.7884199134199134,PASS,,
pm10                                                                                  ,750,500,8,500.0,7.0,2.0,0.492,0.5867709815078236,PASS,,
dresses-sales                                                                         ,23381,500,13,500.0,12.0,2.0,0.42,0.5066593687283343,PASS,,
fri_c3_500_5                                                                          ,749,500,6,500.0,5.0,2.0,0.474,0.8852736673203779,PASS,,
fri_c2_500_50                                                                         ,920,500,51,500.0,50.0,2.0,0.41,0.892521643028182,PASS,,
fri_c0_500_25                                                                         ,926,500,26,500.0,25.0,2.0,0.49,0.6991465149359886,PASS,,
fri_c4_500_10                                                                         ,855,500,11,500.0,10.0,2.0,0.448,0.8246718216148176,PASS,,
fri_c2_500_10                                                                         ,869,500,11,500.0,10.0,2.0,0.428,0.9006177325581395,PASS,,
fri_c4_500_25                                                                         ,838,500,26,500.0,25.0,2.0,0.432,0.8072398190045249,PASS,,
fri_c0_500_5                                                                          ,884,500,6,500.0,5.0,2.0,0.498,0.82,PASS,,
fri_c2_500_5                                                                          ,792,500,6,500.0,5.0,2.0,0.404,0.8557745441149383,PASS,,
fri_c1_500_25                                                                         ,779,500,26,500.0,25.0,2.0,0.466,0.76875,PASS,,
fri_c2_500_25                                                                         ,879,500,26,500.0,25.0,2.0,0.392,0.823430806481654,PASS,,
fri_c0_500_50                                                                         ,888,500,51,500.0,50.0,2.0,0.488,0.7133072407045009,PASS,,
no2                                                                                   ,886,500,8,500.0,7.0,2.0,0.498,0.6,PASS,,
fri_c0_500_10                                                                         ,943,500,11,500.0,10.0,2.0,0.482,0.831196581196581,PASS,,
fri_c1_500_10                                                                         ,824,500,11,500.0,10.0,2.0,0.452,0.7749282639885222,PASS,,
fri_c4_500_50                                                                         ,805,500,51,500.0,50.0,2.0,0.472,0.8254590836156177,PASS,,
boston_corrected                                                                      ,825,506,21,506.0,20.0,2.0,0.4407114624505929,0.806145741878841,PASS,,
boston                                                                                ,853,506,14,506.0,13.0,2.0,0.4130434782608695,0.7897271268057785,PASS,,
rmftsa_ladata                                                                         ,717,508,11,508.0,10.0,2.0,0.437007874015748,0.8290524123568206,PASS,,
threeOf9                                                                              ,40690,512,10,512.0,9.0,2.0,0.46484375,0.9861111111111112,PASS,,
diabetes_risk_prediction_dataset                                                      ,46869,520,17,520.0,16.0,2.0,0.3846153846153846,0.9541666666666668,PASS,,
kc2                                                                                   ,1063,522,22,522.0,21.0,2.0,0.2049808429118774,0.63925,PASS,,
water-treatment                                                                       ,940,527,37,527.0,36.0,2.0,0.1518026565464895,0.9888888888888888,PASS,,
doa_bwin                                                                              ,45711,530,14,530.0,13.0,2.0,0.3320754716981132,0.5188679245283019,PASS,,
bwin_amlb                                                                             ,45717,530,14,530.0,13.0,2.0,0.3320754716981132,0.5188679245283019,PASS,,
cylinder-bands                                                                        ,45707,540,38,540.0,37.0,2.0,0.4222222222222222,0.7232478097622027,PASS,,
monks-problems-3                                                                      ,335,554,7,554.0,6.0,2.0,0.4801444043321299,0.9816091954022989,PASS,,
wdbc                                                                                  ,1510,569,31,569.0,30.0,2.0,0.3725834797891036,0.8891647196261683,PASS,,
sensory                                                                               ,826,576,12,576.0,11.0,2.0,0.4149305555555556,0.6064356435643564,PASS,,
ilpd-numeric                                                                          ,41945,583,11,583.0,10.0,2.0,0.2864493996569468,0.598,PASS,,
ilpd                                                                                  ,1480,583,11,583.0,10.0,2.0,0.2864493996569468,0.598,PASS,,
isolet                                                                                ,41966,600,618,600.0,617.0,2.0,0.5,0.9666666666666668,PASS,,
synthetic_control                                                                     ,1004,600,61,600.0,60.0,2.0,0.1666666666666666,0.9833333333333334,PASS,,
Loan-Predication                                                                      ,43595,614,12,614.0,11.0,2.0,0.3127035830618892,0.7227803421124084,PASS,,
balance-scale                                                                         ,997,625,5,625.0,4.0,2.0,0.4608,0.8740184363263912,PASS,,
strikes                                                                               ,770,625,7,625.0,6.0,2.0,0.496,0.8672891907187322,PASS,,
disclosure_x_noise                                                                    ,827,662,4,662.0,3.0,2.0,0.4969788519637462,0.4723232323232322,PASS,,
disclosure_z                                                                          ,931,662,4,662.0,3.0,2.0,0.4743202416918429,0.5362715298885512,PASS,,
disclosure_x_tampered                                                                 ,795,662,4,662.0,3.0,2.0,0.4939577039274924,0.4273085471812487,PASS,,
disclosure_x_bias                                                                     ,774,662,4,662.0,3.0,2.0,0.4788519637462236,0.5021761133603239,PASS,,
profb                                                                                 ,470,672,10,672.0,9.0,2.0,0.3333333333333333,0.5533443891652847,PASS,,
Australian_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True                      ,44487,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
dataset_credit-approval                                                               ,46545,690,16,690.0,15.0,2.0,0.4449275362318841,0.8369565217391305,PASS,,
Australian_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True                      ,44486,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
Australian_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True                      ,44485,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
credit-approval_reproduced                                                            ,44155,690,16,690.0,15.0,2.0,0.4449275362318841,0.8141304347826086,PASS,,
Australian_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True                      ,44484,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
Australian                                                                            ,40981,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True                      ,44483,690,15,690.0,14.0,2.0,0.4449275362318841,0.7880434782608695,PASS,,
credit-approval                                                                       ,46377,690,16,690.0,15.0,2.0,0.4449275362318841,0.8141304347826086,PASS,,
breast-w                                                                              ,15,699,10,699.0,9.0,2.0,0.3447782546494993,0.9468599033816424,PASS,,
doa_bwin_balanced                                                                     ,45712,708,14,708.0,13.0,2.0,0.5,0.6106065949567977,PASS,,
eucalyptus                                                                            ,990,736,20,736.0,19.0,2.0,0.2907608695652174,0.7013335987261147,PASS,,
blood-transfusion-service-center_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,44596,748,5,748.0,4.0,2.0,0.2379679144385026,0.6217240632445311,PASS,,
blood-transfusion-service-center_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,44594,748,5,748.0,4.0,2.0,0.2379679144385026,0.6217240632445311,PASS,,
blood-transfusion-service-center_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,44593,748,5,748.0,4.0,2.0,0.2379679144385026,0.6217240632445311,PASS,,
blood-transfusion-service-center                                                      ,46913,748,5,748.0,4.0,2.0,0.2379679144385026,0.5790556638509854,PASS,,
blood-transfusion-service-center_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,44595,748,5,748.0,4.0,2.0,0.2379679144385026,0.6217240632445311,PASS,,
blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,44597,748,5,748.0,4.0,2.0,0.2379679144385026,0.6217240632445311,PASS,,
diabetes                                                                              ,46921,768,9,768.0,8.0,2.0,0.3489583333333333,0.6877777777777779,PASS,,
kdd_el_nino-small                                                                     ,839,782,9,782.0,8.0,2.0,0.3503836317135549,0.8965407301131835,PASS,,
analcatdata_dmft                                                                      ,1014,797,5,797.0,4.0,2.0,0.1944792973651192,0.4996141549994488,PASS,,
imdb_genre_prediction                                                                 ,46667,800,12,800.0,11.0,2.0,0.4875,0.7197206587450491,PASS,,
glioma_grading_clinical_and_mutation_features                                         ,46846,839,24,839.0,23.0,2.0,0.4195470798569726,0.7574308606875161,PASS,,
analcatdata_authorship                                                                ,970,841,71,841.0,70.0,2.0,0.3769322235434007,0.9389073950699534,PASS,,
vehicle                                                                               ,994,846,19,846.0,18.0,2.0,0.2576832151300236,0.9610500610500612,PASS,,
titanic                                                                               ,42638,891,8,891.0,7.0,2.0,0.3838383838383838,0.7289202706678435,PASS,,
stock                                                                                 ,841,950,10,950.0,9.0,2.0,0.4863157894736842,0.9364590519365332,PASS,,
Tour-and-Travels-Customer-Churn-Prediction                                            ,45545,954,7,954.0,6.0,2.0,0.2348008385744235,0.924762550881954,PASS,,
tic-tac-toe                                                                           ,50,958,10,958.0,9.0,2.0,0.3465553235908142,0.8058510638297872,PASS,,
tokyo1                                                                                ,40705,959,45,959.0,44.0,2.0,0.3607924921793535,0.8798076923076923,PASS,,
Mammographic-Mass-Data-Set                                                            ,45557,961,5,961.0,4.0,2.0,0.4630593132154006,0.7240972556571978,PASS,,
xd6                                                                                   ,40693,973,10,973.0,9.0,2.0,0.3309352517985611,0.9896907216494846,PASS,,
dataset_credit-g                                                                      ,46542,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
fri_c1_1000_5                                                                         ,743,1000,6,1000.0,5.0,2.0,0.457,0.8528055169943128,PASS,,
autoUniv-au1-1000                                                                     ,1547,1000,21,1000.0,20.0,2.0,0.259,0.6178101178101177,PASS,,
German-Credit-Data-Creditability                                                      ,46421,1000,72,1000.0,71.0,2.0,0.3,0.676984126984127,PASS,,
fri_c4_1000_50                                                                        ,797,1000,51,1000.0,50.0,2.0,0.44,0.7962662337662336,PASS,,
credit-g_reproduced_1                                                                 ,44098,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
credit-g_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True                        ,44500,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
German-Credit-Data-Creditability-2                                                    ,46482,1000,21,1000.0,20.0,2.0,0.3,0.6365079365079365,PASS,,
credit-g_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True                        ,44499,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
credit-g_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True                        ,44498,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
fri_c4_1000_25                                                                        ,723,1000,26,1000.0,25.0,2.0,0.453,0.8159074605451937,PASS,,
credit-g_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True                        ,44502,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
credit-g_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True                        ,44501,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
1StudentPerfromance                                                                   ,43255,1000,8,1000.0,7.0,2.0,0.482,0.7935483870967742,PASS,,
students_scores                                                                       ,43098,1000,8,1000.0,7.0,2.0,0.482,0.7935483870967742,PASS,,
fri_c3_1000_25                                                                        ,715,1000,26,1000.0,25.0,2.0,0.443,0.8409121606411238,PASS,,
fri_c2_1000_10                                                                        ,913,1000,11,1000.0,10.0,2.0,0.42,0.8234811165845649,PASS,,
fri_c2_1000_5                                                                         ,912,1000,6,1000.0,5.0,2.0,0.416,0.9,PASS,,
credit-g_copy                                                                         ,44097,1000,21,1000.0,20.0,2.0,0.3,0.6293650793650793,PASS,,
fri_c1_1000_25                                                                        ,917,1000,26,1000.0,25.0,2.0,0.454,0.8227223816355811,PASS,,
StudentsPerformance                                                                   ,45748,1000,8,1000.0,7.0,2.0,0.482,0.7935483870967742,PASS,,
fri_c3_1000_10                                                                        ,740,1000,11,1000.0,10.0,2.0,0.44,0.844426406926407,PASS,,
German-Credit-Data-Creditability-Preprocessed-Dataset                                 ,46562,1000,34,1000.0,33.0,2.0,0.3,0.642063492063492,PASS,,
fri_c0_1000_25                                                                        ,849,1000,26,1000.0,25.0,2.0,0.497,0.7863460598248811,PASS,,
credit-g                                                                              ,46918,1000,21,1000.0,20.0,2.0,0.3,0.6476190476190476,PASS,,
Credit_Approval_Classification                                                        ,46503,1000,51,1000.0,50.0,2.0,0.3,0.6174603174603174,PASS,,
fri_c4_1000_10                                                                        ,751,1000,11,1000.0,10.0,2.0,0.44,0.8295454545454545,PASS,,
fri_c2_1000_25                                                                        ,903,1000,26,1000.0,25.0,2.0,0.437,0.8101991959889787,PASS,,
fri_c1_1000_50                                                                        ,837,1000,51,1000.0,50.0,2.0,0.453,0.8617288378766141,PASS,,
dummy                                                                                 ,45604,1000,7,1000.0,6.0,2.0,0.273,0.8268068919221303,PASS,,
fri_c0_1000_50                                                                        ,904,1000,51,1000.0,50.0,2.0,0.49,0.7725756969454447,PASS,,
German-Credit-Risk-with-Target                                                        ,46116,1000,10,1000.0,9.0,2.0,0.3,0.6087301587301588,PASS,,
Creditability-German-Credit-Data                                                      ,46416,1000,21,1000.0,20.0,2.0,0.3,0.6365079365079365,PASS,,
fri_c3_1000_5                                                                         ,813,1000,6,1000.0,5.0,2.0,0.437,0.8683093183973983,PASS,,
